noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
white,0.75,anisotropic,1.25,0.0,0.25,0,0,"[0.48248783 0.39639528 0.38968837 0.38319379 0.37594566 0.34518735
 0.31762677 0.28916518]","[0.00774139 0.00697048 0.00705521 0.00715269 0.00727865 0.00743556
 0.00760363 0.00780262]"
white,1.0,anisotropic,1.25,0.0,0.25,0,0,"[0.45406747 0.36652287 0.35962007 0.3529358  0.34547598 0.31375656
 0.28533479 0.25598385]","[0.00621989 0.00612853 0.00618177 0.00624833 0.00633947 0.00653843
 0.00674285 0.00697751]"
white,0.05,anisotropic,1.0,0.0,0.5,0,0,"[0.3267851  0.24084729 0.24214    0.24339179 0.24478881 0.22884107
 0.21455131 0.19979438]","[0.00270697 0.00285202 0.00285133 0.00286262 0.00288894 0.00292686
 0.00297622 0.00304169]"
white,0.1,anisotropic,1.0,0.0,0.5,0,0,"[0.32548849 0.23933462 0.24060356 0.24183233 0.24320366 0.22718375
 0.21282931 0.1980056 ]","[0.00280378 0.00296005 0.00298574 0.0030239  0.00308134 0.00308944
 0.00311104 0.00314728]"
white,0.16,anisotropic,1.0,0.0,0.5,0,0,"[0.33025558 0.24296584 0.24424027 0.24547435 0.24685162 0.2306003
 0.21603852 0.20100069]","[0.00278754 0.00298909 0.003013   0.00304836 0.00310149 0.00311513
 0.00314347 0.00318827]"
white,0.2,anisotropic,1.0,0.0,0.5,0,0,"[0.33960205 0.25136255 0.25267797 0.25395175 0.25537333 0.23889519
 0.22413017 0.20888246]","[0.02199931 0.02145263 0.0219234  0.02238099 0.02289354 0.02255548
 0.02225509 0.02194749]"
white,0.24,anisotropic,1.0,0.0,0.5,0,0,"[0.37152679 0.28153947 0.28270048 0.28382473 0.28507942 0.26874684
 0.25411224 0.2389992 ]","[0.05946947 0.06027878 0.05996828 0.05968141 0.05937752 0.06048401
 0.06149598 0.06256035]"
white,0.28,anisotropic,1.0,0.0,0.5,0,0,"[0.55441449 0.47186727 0.47275899 0.47362249 0.47458618 0.46014042
 0.44719649 0.4338294 ]","[0.0653968  0.07063194 0.07068845 0.07077451 0.07090684 0.07182217
 0.07267955 0.07360052]"
white,0.32,anisotropic,1.0,0.0,0.5,0,0,"[0.67426574 0.60484779 0.60580172 0.60672545 0.60775636 0.59433831
 0.58231525 0.56989913]","[0.01803334 0.01922817 0.01925231 0.01928985 0.01934808 0.01987407
 0.02036369 0.02088616]"
white,0.36,anisotropic,1.0,0.0,0.5,0,0,"[0.70945631 0.64408233 0.64507041 0.64602721 0.64709502 0.63388895
 0.62205582 0.60983585]","[0.00786017 0.00872763 0.00883684 0.0089814  0.00918557 0.00938587
 0.0096069  0.00987349]"
white,0.5,anisotropic,1.0,0.0,0.5,0,0,"[0.58163412 0.50605882 0.50693369 0.50778085 0.50872632 0.49443565
 0.48163068 0.46840709]","[0.01554115 0.01569911 0.01567358 0.01566665 0.0156796  0.01588906
 0.01609914 0.01633741]"
white,0.75,anisotropic,1.0,0.0,0.5,0,0,"[0.51956365 0.43837325 0.43913118 0.43986511 0.44068419 0.42456265
 0.41011715 0.39519941]","[0.00844203 0.00826508 0.00828289 0.00831411 0.00836499 0.00849453
 0.0086278  0.00878168]"
white,1.0,anisotropic,1.0,0.0,0.5,0,0,"[0.48860592 0.40467944 0.40550717 0.4063087  0.40720322 0.39014121
 0.37485301 0.35906502]","[0.00585945 0.00576297 0.00575207 0.00576081 0.00579287 0.00591422
 0.00604246 0.00619299]"
white,0.05,anisotropic,0.75,0.0,0.75,0,0,"[0.32784199 0.22721585 0.23475423 0.24205397 0.25020066 0.24204515
 0.2347375  0.22719096]","[0.00312644 0.00330713 0.00329    0.00328529 0.00329388 0.00330186
 0.00332138 0.00335357]"
white,0.1,anisotropic,0.75,0.0,0.75,0,0,"[0.32677917 0.22573953 0.23330908 0.240639   0.24881937 0.24062418
 0.23328099 0.22569773]","[0.00290032 0.00314193 0.00311308 0.00309747 0.00309461 0.00308989
 0.00309856 0.00312018]"
white,0.16,anisotropic,0.75,0.0,0.75,0,0,"[0.33128197 0.22905115 0.23667283 0.24405322 0.25228993 0.24404009
 0.23664792 0.22901409]","[0.00289112 0.00302548 0.00300558 0.00300001 0.00300979 0.00302265
 0.00304766 0.00308651]"
white,0.2,anisotropic,0.75,0.0,0.75,0,0,"[0.33842919 0.2351686  0.24289691 0.25038057 0.25873253 0.25038695
 0.242909   0.23518658]","[0.00339799 0.0035372  0.00352718 0.00352847 0.00354266 0.00351862
 0.00350961 0.00351282]"
white,0.24,anisotropic,0.75,0.0,0.75,0,0,"[0.35868571 0.25334767 0.26115088 0.26870707 0.27713996 0.26869297
 0.26112415 0.2533079 ]","[0.03186447 0.03122367 0.0312699  0.03132424 0.03139596 0.03137037
 0.03135441 0.03134484]"
white,0.28,anisotropic,0.75,0.0,0.75,0,0,"[0.51519809 0.41657624 0.42360078 0.43040295 0.43799433 0.43048665
 0.42375949 0.4168124 ]","[0.09053525 0.09904943 0.09833266 0.09765821 0.09692881 0.0976278
 0.09827577 0.09896598]"
white,0.32,anisotropic,0.75,0.0,0.75,0,0,"[0.67197002 0.59089599 0.59700575 0.60292209 0.60952487 0.60295955
 0.59707677 0.59100168]","[0.02285549 0.0260976  0.02581341 0.0255614  0.02530792 0.02559565
 0.02587346 0.02617951]"
white,0.36,anisotropic,0.75,0.0,0.75,0,0,"[0.71598694 0.64000032 0.64601669 0.6518426  0.65834446 0.65187981
 0.64608724 0.6401053 ]","[0.00926396 0.01081663 0.01063014 0.01048121 0.01035343 0.01042506
 0.01051929 0.01064558]"
white,0.5,anisotropic,0.75,0.0,0.75,0,0,"[0.59117719 0.50442522 0.51093272 0.51723421 0.52426683 0.51722678
 0.51091864 0.50440426]","[0.01478337 0.01530791 0.01531007 0.0153296  0.01537158 0.01535134
 0.01535273 0.01537353]"
white,0.75,anisotropic,0.75,0.0,0.75,0,0,"[0.52909517 0.43505904 0.44227378 0.44926013 0.45705706 0.44932099
 0.44238919 0.43523077]","[0.00789666 0.00817557 0.00812173 0.008085   0.00806216 0.00807547
 0.00810574 0.00815499]"
white,1.0,anisotropic,0.75,0.0,0.75,0,0,"[0.49724305 0.39983984 0.40733678 0.41459638 0.42269828 0.41459116
 0.40732687 0.3998251 ]","[0.00601885 0.00603283 0.00599751 0.00597898 0.00597672 0.00601229
 0.00606079 0.00612698]"
