noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.5,anisotropic,1.25,0.0,0.25,0.5,0.05,"[0.46332293 0.35585    0.34845645 0.34129695 0.33330677 0.31139561
 0.2917624  0.27148734]","[0.00258674 0.00297425 0.00301717 0.00307849 0.00316847 0.00326815
 0.00338457 0.00352891]"
correlated,0.75,anisotropic,1.25,0.0,0.25,0.5,0.05,"[0.42338284 0.31530529 0.30848426 0.30187916 0.29450771 0.27503389
 0.25758462 0.23956491]","[0.00213654 0.00237322 0.00242104 0.0024837  0.00257114 0.00261688
 0.00267935 0.00276366]"
correlated,1.0,anisotropic,1.25,0.0,0.25,0.5,0.05,"[0.3927597  0.28515246 0.27890602 0.27285733 0.26610684 0.24864171
 0.23299231 0.2168313 ]","[0.00194275 0.00214034 0.00218913 0.00225343 0.00234329 0.00235782
 0.00239667 0.00246116]"
correlated,0.05,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.64527725 0.55236422 0.55102508 0.54972834 0.54828115 0.53661936
 0.52616997 0.51537897]","[0.00681213 0.00768442 0.00776739 0.00786952 0.00800779 0.00807214
 0.00815346 0.00826018]"
correlated,0.1,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.60808356 0.50769448 0.50626514 0.50488105 0.50333638 0.49094807
 0.47984769 0.46838442]","[0.00523571 0.00613045 0.00614129 0.00617244 0.00623081 0.00628444
 0.00635932 0.00646228]"
correlated,0.16,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.57163831 0.4665326  0.46502756 0.46357016 0.46194366 0.44929755
 0.43796617 0.42626435]","[0.00503318 0.00575595 0.00577888 0.00582101 0.00589064 0.00594785
 0.00602244 0.00612175]"
correlated,0.2,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.55704467 0.45048383 0.44896338 0.44749107 0.44584793 0.4330958
 0.42166942 0.4098695 ]","[0.00426766 0.00483022 0.00482929 0.00484962 0.00489666 0.00495625
 0.00503404 0.00513742]"
correlated,0.24,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.54590535 0.43804032 0.43656041 0.43512736 0.43352803 0.42084356
 0.4094778  0.39774048]","[0.00411435 0.00465774 0.00465907 0.00468052 0.00472756 0.00480356
 0.00489617 0.00501471]"
correlated,0.28,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.53511035 0.42618717 0.42467918 0.42321892 0.42158923 0.40894996
 0.39762472 0.38592922]","[0.00387548 0.00433934 0.00435859 0.00439319 0.00444989 0.00449919
 0.0045611  0.00464189]"
correlated,0.32,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.52546607 0.41572843 0.41422997 0.41277895 0.41115957 0.39855192
 0.38725501 0.37558877]","[0.00333668 0.00381577 0.00386399 0.00392857 0.00402037 0.00401057
 0.00402227 0.0040545 ]"
correlated,0.36,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.51545898 0.40481292 0.40329392 0.401823   0.40018141 0.38770046
 0.37651707 0.36496807]","[0.003383   0.00387592 0.00390054 0.00393948 0.00399995 0.00406355
 0.00413904 0.00423434]"
correlated,0.5,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.48419388 0.37123905 0.36976777 0.36834307 0.36675306 0.35470441
 0.34390837 0.33275938]","[0.00249534 0.00290217 0.0029333  0.00298341 0.00306132 0.00309475
 0.00314515 0.00321648]"
correlated,0.75,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.43910664 0.3242402  0.32280919 0.32142348 0.31987699 0.30887926
 0.29902489 0.28884835]","[0.00201821 0.00222631 0.0022586  0.00230706 0.00237983 0.00237042
 0.00238708 0.00242865]"
correlated,1.0,anisotropic,1.0,0.0,0.5,0.5,0.05,"[0.40443866 0.28949559 0.28812874 0.28680516 0.28532801 0.27537349
 0.26645387 0.25724265]","[0.00173178 0.00196966 0.00195371 0.00195646 0.00198058 0.00200747
 0.00205606 0.0021288 ]"
correlated,0.05,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.65550091 0.55080573 0.55498531 0.55903258 0.56354943 0.55907865
 0.55507266 0.55093571]","[0.00809517 0.00954159 0.0094249  0.00933181 0.00925179 0.00926088
 0.00929042 0.00934194]"
correlated,0.1,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.61909384 0.50622483 0.51058751 0.51481208 0.5195268  0.51480248
 0.51056931 0.50619775]","[0.00564209 0.0067346  0.00669686 0.00667712 0.00667479 0.00667118
 0.00668804 0.00672522]"
correlated,0.16,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.57855013 0.45968479 0.46417636 0.46852574 0.47337976 0.46853158
 0.46418743 0.45970126]","[0.00575596 0.00660728 0.00661013 0.00662711 0.00666245 0.00663104
 0.00661814 0.00662002]"
correlated,0.2,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.56578798 0.44579615 0.45029584 0.45465309 0.45951589 0.45461874
 0.4502307  0.44569922]","[0.00396337 0.00451865 0.00448787 0.00447742 0.00448839 0.00445483
 0.0044461  0.00445841]"
